구분,대여소명,반납일자,반납건수,,,,
광진구,503. 더샵스타시티 C동 앞,201901,353,,,,
광진구,504. 신자초교입구교차로,201901,769,,,,
광진구,505. 자양사거리 광진아크로텔 앞,201901,1070,,,,
광진구,515. 광양중학교 앞,201901,176,,,,
광진구,516. 광진메디칼 앞,201901,388,,,,
광진구,539. 군자교교차로,201901,287,,,,
광진구,540. 군자역 7번출구 베스트샵 앞,201901,820,,,,
광진구,542. 강변역 4번출구 뒤,201901,428,,,,
광진구,543. 구의공원(테크노마트 앞),201901,366,,,,
광진구,544. 광남중학교,201901,166,,,,
광진구,546. 잠실대교북단 교차로,201901,413,,,,
광진구,548. 자양나들목,201901,527,,,,
광진구,549. 아차산역 3번출구,201901,723,,,,
광진구,551. 구의삼성쉐르빌 앞,201901,743,,,,
광진구,552. 대림아크로리버 앞,201901,158,,,,
광진구,553. 중곡 성원APT 앞,201901,213,,,,
광진구,555. 구의3동주민센터,201901,257,,,,
광진구,571. 어린이대공원역6번출구,201901,408,,,,
광진구,572. 국립정신 건강센터 앞,201901,56,,,,
광진구,573. 구의문주차장 앞,201901,664,,,,
광진구,574. 아차산역4번출구,201901,365,,,,
광진구,575. 중앙농협 중곡지점,201901,58,,,,
광진구,576. 광나루역 3번 출구,201901,337,,,,
광진구,577. 광진청소년수련관,201901,322,,,,
광진구,584. 광진광장 교통섬,201901,734,,,,
광진구,588. 뚝섬 유원지역,201901,349,,,,
광진구,590. 건국대학교 (입학정보관),201901,1154,,,,
광진구,591. 건국대학교 (행정관),201901,344,,,,
광진구,592. 건국대학교 학생회관,201901,620,,,,
광진구,593.자양중앙나들목,201901,557,,,,
구로구,1901. 신도림동주민센터 앞,201901,304,,,,
구로구,1904. 도림천역 1번 출구 앞,201901,402,,,,
구로구,1906. 신도림역 1번 출구 앞,201901,1105,,,,
구로구,1907. 구일우성(아) 육교 밑,201901,248,,,,
구로구,1908. 해원리바파크 육교 밑,201901,470,,,,
구로구,1910. 낙원교회 맞은편,201901,114,,,,
구로구,1911. 구로디지털단지역 앞,201901,1329,,,,
구로구,1912. 한신휴아파트 앞,201901,343,,,,
구로구,1913. 구로리공원,201901,227,,,,
구로구,1914. 대림역4번출구,201901,351,,,,
구로구,1916. 구로중학교앞,201901,79,,,,
구로구,1920. 서울미래초등학교 사거리,201901,205,,,,
구로구,1924. 삼부르네상스파크빌,201901,141,,,,
구로구,1925. 동양미래대학교 정문 옆,201901,491,,,,
구로구,1928. 고척스카이돔구장 광장,201901,257,,,,
구로구,1929. 고척근린공원 고척도서관 앞,201901,201,,,,
구로구,1930. 개봉지구대 개봉치안센터,201901,122,,,,
구로구,1931. 개봉역(북측광장),201901,275,,,,
구로구,1933. 개봉푸르지오아파트 상가,201901,229,,,,
구로구,1936. 개봉역 1번 출구 자전거보관서쪽,201901,90,,,,
구로구,1937. 한진아파트 입구,201901,123,,,,
구로구,1941. 오류동역 2번출구,201901,186,,,,
구로구,1943. 온수역 북측,201901,40,,,,
구로구,1946. 구로역 광장,201901,399,,,,
구로구,1951. 천왕이펜하우스 4단지 상가 앞,201901,48,,,,
구로구,1952. 천왕연지타운2단지 앞,201901,281,,,,
구로구,1953. 천왕역 4번출구 뒤,201901,116,,,,
구로구,1955. 디지털입구 교차로,201901,656,,,,
구로구,1956. 도야미리숯불갈비 앞,201901,183,,,,
구로구,1957. 구일고등학교 정문,201901,280,,,,
구로구,1958. 강서수도사업소민원센터,201901,253,,,,
구로구,1959. 구로구의회 앞,201901,262,,,,
구로구,1960. 화광신문사 앞,201901,348,,,,
구로구,1961. 신도림테크노근린공원,201901,776,,,,
구로구,1962. 가리봉동주민센터,201901,391,,,,
